,state,city,views,zip_code,lat,long
0,az,phoenix,360,85001,33.4486,-112.0733
1,nv,las vegas,334,89101,36.1736,-115.1264
2,wa,seattle,322,98101,47.6110,-122.3335
3,or,portland,279,97201,45.5074,-122.6898
4,ca,san diego,269,92101,32.7199,-117.1805
5,ca,san diego,1,92101,32.7199,-117.1805
6,ca,los angeles,249,90001,33.9736,-118.2479
7,ca,los angeles,1,90001,33.9736,-118.2479
8,il,chicago,240,60290,41.85,-87.65
9,az,tucson,235,85701,32.2179,-110.9686
10,fl,orlando,230,32801,28.5446,-81.3745
11,nm,albuquerque,217,87101,35.0846,-106.6516
12,sc,myrtle beach,211,29572,33.7654,-78.7957
13,sc,myrtle beach,1,29572,33.7654,-78.7957
14,fl,miami,190,33101,25.7738,-80.1936
15,tx,houston,176,77001,29.7634,-95.3634
16,ca,sacramento,175,94203,38.5819,-121.4935
17,ca,sacramento,1,94203,38.5819,-121.4935
18,tx,austin,174,73301,30.2197,-97.7473
19,co,denver,167,80201,39.7393,-104.9844
20,ca,san jose,160,95101,37.3435,-121.8887
21,ca,san jose,1,95101,37.3435,-121.8887
22,id,boise,155,83701,43.6139,-116.2025
23,oh,columbus,146,43085,40.1005,-83.0139
24,co,colorado springs,141,80901,38.8336,-104.8206
25,co,colorado springs,1,80901,38.8336,-104.8206
26,fl,jacksonville,139,32099,30.3383,-81.7706
27,tx,san antonio,135,78201,29.4728,-98.5356
28,tx,san antonio,2,78201,29.4728,-98.5356
29,az,mesa,130,85201,33.4432,-111.8553
30,nc,charlotte,126,28201,35.2287,-80.8458
31,wa,vancouver,125,98660,45.6988,-122.7198
32,fl,tampa,123,33601,27.9475,-82.4588
33,ca,san francisco,122,94101,37.77,-122.41
34,in,indianapolis,122,46201,39.7757,-86.1096
35,pa,philadelphia,122,19019,39.9525,-75.1644
36,ky,louisville,118,40201,38.2545,-85.7595
37,ky,louisville,1,40201,38.2545,-85.7595
38,ut,salt lake city,114,84101,40.7566,-111.9012
39,ut,salt lake city,1,84101,40.7566,-111.9012
40,wa,spokane,109,99201,47.6648,-117.4375
41,tx,dallas,105,75201,32.7877,-96.7999
42,pa,pittsburgh,103,15201,40.4739,-79.9559
43,ak,anchorage,101,99501,61.2225,-149.8677
44,ne,omaha,101,68101,41.2596,-95.9374
45,sc,north myrtle beach,99,29582,33.8348,-78.6621
46,tn,nashville,99,37201,36.1660,-86.7732
47,ok,tulsa,98,74101,36.1537,-95.9926
48,va,virginia beach,97,23450,36.8598,-75.9812
49,ca,fresno,96,93650,36.8424,-119.8031
50,wa,tacoma,96,98401,47.2534,-122.4432
51,oh,cincinnati,94,45201,39.1616,-84.4569
52,ca,long beach,91,90801,33.7668,-118.1886
53,nv,reno,89,89501,39.5285,-119.8043
54,or,eugene,89,97401,44.0672,-123.0827
55,or,salem,88,97301,44.9586,-123.0026
56,wa,everett,87,98201,47.9908,-122.1990
57,tn,knoxville,82,37901,35.9646,-83.9197
58,nc,raleigh,81,27601,35.7752,-78.6343
59,az,chandler,80,85224,33.3241,-111.8769
60,ga,atlanta,80,30301,33.7486,-84.3884
61,wa,bellingham,78,98225,48.7477,-122.5222
62,az,scottsdale,76,85250,33.5240,-111.9036
63,wa,yakima,76,98901,46.6748,-120.3368
64,md,baltimore,75,21201,39.2954,-76.6239
65,mi,grand rapids,75,49501,42.9634,-85.6681
66,fl,sarasota,73,34230,27.3364,-82.5308
67,ks,wichita,73,67201,37.6923,-97.3374
68,fl,cape coral,71,33904,26.5742,-81.9439
69,hi,honolulu,71,96801,21.3069,-157.8584
70,nm,santa fe,71,87501,35.7091,-105.8594
71,ny,rochester,71,14602,43.1544,-77.6156
72,ok,oklahoma city,71,73101,35.4678,-97.5164
73,ok,oklahoma city,3,73101,35.4678,-97.5164
74,ny,buffalo,70,14201,42.8945,-78.8869
75,mn,minneapolis,69,55401,44.9848,-93.2697
76,ca,modesto,67,95350,37.6677,-121.0148
77,ca,riverside,67,92501,33.9943,-117.3778
78,ca,santa rosa,67,95401,38.4534,-122.7814
79,ca,santa rosa,1,95401,38.4534,-122.7814
80,az,tempe,66,85280,33.4148,-111.9088
81,az,tempe,1,85280,33.4148,-111.9088
82,va,richmond,66,23218,37.5539,-77.4608
83,in,fort wayne,65,46801,41.1306,-85.1289
84,tn,memphis,65,37501,35.1496,-90.0487
85,wa,bremerton,65,98310,47.5943,-122.6265
86,wi,milwaukee,65,53201,43.0386,-87.9067
87,az,glendale,64,85301,33.5382,-112.1859
88,ca,huntington beach,64,92605,33.7036,-117.9942
89,fl,naples,64,34101,26.1418,-81.7950
90,ca,bakersfield,63,93301,35.3879,-119.0236
91,wi,madison,62,53701,43.0733,-89.4012
92,az,gilbert,61,85233,33.3463,-111.8154
93,ia,des moines,61,50301,41.6006,-93.6087
94,ia,des moines,1,50301,41.6006,-93.6087
95,nv,henderson,61,89002,35.9985,-114.9589
96,ca,anaheim,60,92801,33.8478,-117.9573
97,co,fort collins,60,80521,40.5984,-105.1264
98,tx,el paso,59,79901,31.7630,-106.4856
99,wa,auburn,59,98001,47.3075,-122.2659
100,co,boulder,58,80301,40.0480,-105.2068
101,mo,springfield,58,65801,37.2155,-93.2981
102,az,lake havasu city,57,86403,34.4754,-114.3402
103,mo,kansas city,57,64101,39.1041,-94.5997
104,mo,kansas city,1,64101,39.1041,-94.5997
105,nc,greensboro,57,27395,36.07,-79.79
106,ca,escondido,55,92025,33.0902,-117.0072
107,nm,las cruces,55,88001,32.2858,-106.7449
108,ca,santa barbara,54,93101,34.4191,-119.7034
109,ca,corona,53,92877,33.8754,-117.5659
110,ca,irvine,53,92602,33.7484,-117.7455
111,co,longmont,53,80501,40.1689,-105.0932
112,mo,columbia,53,65201,38.8822,-92.2523
113,ne,lincoln,53,68501,40.8000,-96.6664
114,ak,fairbanks,52,99701,64.5608,-147.6728
115,co,aurora,52,80010,39.7398,-104.8562
116,ma,boston,52,02108,42.3573,-71.0645
117,mi,detroit,52,48201,42.3462,-83.0606
118,nc,wilmington,52,28401,34.2659,-77.9697
119,ia,cedar rapids,51,52401,41.9747,-91.6554
120,ky,lexington,51,40502,38.0160,-84.4879
121,mt,missoula,51,59801,46.8578,-114.0150
122,or,beaverton,51,97005,45.4965,-122.7999
123,oh,toledo,50,43601,41.6525,-83.5486
124,az,sedona,49,86336,34.6551,-111.4146
125,az,surprise,49,85374,33.6513,-112.3764
126,ca,el cajon,49,92019,32.7797,-116.8775
127,ca,el cajon,1,92019,32.7797,-116.8775
128,ca,oakland,49,94601,37.7770,-122.2159
129,nc,fayetteville,49,28301,35.0663,-78.8893
