,DateTime,City,State,Shape
0,9/22/97 20:00,Solomons Island,MD,Disk
1,9/19/97,Garden Grove,CA,Rectangle
2,9/15/97 00:00,Houston,TX,Disk
3,9/15/97 20:00,Santa Fe,NM,Light
4,9/15/97 20:00,Kent,WA,Sphere
5,9/15/97 20:00,Angola,IN,Circle
6,9/7/97 12:00,Gulf of Mexico,LA,Cigar
7,9/1/97 23:00,Albany,ME,Light
8,9/1/97 22:30,Carlsbad,CA,Light
9,10/30/97 00:00,Ophir Mountain,UT,Circle
10,10/22/97 15:00,Milford,CA,Disk
11,10/20/97 08:45,Gig Harbor,WA,Light
12,10/19/97 02:00,Attleboro,MA,Light
13,10/17/97 20:00,Ignacio,CO,Triangle
14,10/15/97 20:00,Rosburg,WA,Triangle
15,10/15/97 19:00,Shark River Hills,NJ,Triangle
16,10/15/97 17:30,Daggett,CA,Rectangle
17,10/15/97 17:00,New Britain (?),CT,Rectangle
18,10/10/97 20:00,Bonaire,GA,Triangle
19,10/10/97 17:00,Mesa,AZ,Sphere
20,10/3/97 21:30,Waco,TX,Light
21,10/2/97 02:00,Ringgold,GA,Circle
22,10/1/97 22:00,Summerville,SC,Triangle
23,10/1/97 19:00,Green Bay,WI,Light
24,10/1/97 19:00,Pelzer,SC,Triangle
25,11/28/97 19:30,Lake Geneva,WI,Fireball
26,11/21/97 12:00,Plattsmouth,NE,Circle
27,11/15/97 23:00,Chester,NJ,Circle
28,11/15/97 21:30,Varysburg,NY,Triangle
29,11/15/97 20:00,El Centro,CA,Oval
30,11/14/97 22:00,Stevens Pass,WA,Disk
31,11/14/97 21:00,Gig Harbor,WA,Formation
32,11/14/97 20:00,Lynnwood,WA,Oval
33,11/9/97 21:00,Perkinston,MS,Cigar
34,12/31/97 20:30,Warren,OH,Other
35,12/25/97 09:00,Los Angeles (Eagle Rock),CA,Disk
36,12/17/97 00:15,Ocala,FL,Fireball
37,12/15/97 22:00,Iola,IL,Fireball
38,12/15/97 18:00,Oak Hill,WV,Triangle
39,12/10/97 20:00,Fort Ann,NY,Other
40,12/1/97 23:30,Paramus (souh of),NJ,Fireball
41,12/1/97 22:00,Greentown,IN,Cigar
42,1/31/17 23:45,Richlands,NC,Other
43,1/31/17 23:00,Maricopa,AZ,Light
44,1/31/17 22:15,Albany,OR,Sphere
45,1/31/17 21:00,Charlottesville,VA,Other
46,1/31/17 18:40,Mechanicsburg,PA,Light
47,1/31/17 06:15,Glendale,AZ,Triangle
48,1/31/17 04:00,Strafford,MO,Rectangle
49,1/30/17 20:15,Oviedo,FL,Circle
50,1/30/17 18:45,Katy,TX,Fireball
51,1/30/17 14:00,Cottonwood,AZ,Rectangle
52,1/30/17 07:00,Catonsville,MD,Changing
53,1/30/17 06:13,Fort Chafee,AR,Flash
54,1/30/17 04:45,Fletcher,NC,Other
55,1/30/17 02:30,Somersworth,NH,Light
56,1/29/17 23:00,Ft. Lauderdale,FL,Fireball
57,1/29/17 22:30,Conyers,GA,Light
58,1/29/17 21:00,Layton,UT,Other
59,1/29/17 20:15,Hurricane,UT,Light
60,1/29/17 20:00,Powell,TN,Sphere
61,1/29/17 19:35,Bountiful,UT,Light
62,1/29/17 19:30,Saint Petersburg,FL,Sphere
63,1/29/17 19:15,Walden,NY,Formation
